Model,Strategy,thr,acc,bal_acc,macro_f1,mcc,up_prec,up_rec,dn_prec,dn_rec,roc_auc,pr_auc_down,brier,TN,FP,FN,TP
RNN,Baseline,0.5,0.5619195046439629,0.5083166772290743,0.4319511550950021,0.029306193670582115,0.5694915254237288,0.9205479452054794,0.48214285714285715,0.09608540925266904,0.5021303563593819,0.4434249523163474,0.24742953889563668,27,254,29,336
RNN,Threshold,0.53,0.5170278637770898,0.4964364061814459,0.49177467345806647,-0.007447785888554187,0.5623529411764706,0.6547945205479452,0.4298642533936652,0.33807829181494664,0.5021303563593819,0.4434249523163474,0.24742953889563668,95,186,126,239
RNN,Cost-sens.,0.5,0.4907120743034056,0.4915760737093551,0.4890358627421282,-0.01670681502162489,0.5566037735849056,0.4849315068493151,0.4268292682926829,0.498220640569395,0.493316433481207,0.4365688072082033,0.2509714302166208,140,141,188,177
RNN,Combined,0.49,0.48761609907120745,0.471637498171891,0.4696183849884039,-0.05791306837437755,0.5425,0.5945205479452055,0.3983739837398374,0.3487544483985765,0.493316433481207,0.4365688072082033,0.2509714302166208,98,183,148,217
LSTM,Baseline,0.5,0.5572755417956656,0.49929313118510216,0.40095196098775676,-0.003096091469224109,0.5646481178396072,0.9452054794520548,0.42857142857142855,0.05338078291814947,0.4894067176912202,0.43157112947888243,0.24786486701517074,15,266,20,345
LSTM,Threshold,0.53,0.49226006191950467,0.48025154779895673,0.47979455754254685,-0.03980862949101212,0.5485564304461942,0.5726027397260274,0.41132075471698115,0.3879003558718861,0.4894067176912202,0.43157112947888243,0.24786486701517074,109,172,156,209
LSTM,Cost-sens.,0.5,0.4969040247678019,0.48722761175839713,0.4871700924534984,-0.025600373176887826,0.5540540540540541,0.5616438356164384,0.42028985507246375,0.4128113879003559,0.48674499098132895,0.42629112284828025,0.25050779129437895,116,165,160,205
LSTM,Combined,0.5,0.4969040247678019,0.48722761175839713,0.4871700924534984,-0.025600373176887826,0.5540540540540541,0.5616438356164384,0.42028985507246375,0.4128113879003559,0.48674499098132895,0.42629112284828025,0.25050779129437895,116,165,160,205
Transformer,Baseline,0.5,0.5619195046439629,0.5058596987276361,0.418286532495426,0.023061114474408412,0.5681063122923588,0.936986301369863,0.4772727272727273,0.07473309608540925,0.5122117681470287,0.4535079012360252,0.2468999742823737,21,260,23,342
Transformer,Threshold,0.53,0.5046439628482973,0.4924389411592649,0.4919786096256684,-0.015259311700481804,0.5587467362924282,0.5863013698630137,0.42585551330798477,0.398576512455516,0.5122117681470287,0.4535079012360252,0.2468999742823737,112,169,151,214
Transformer,Cost-sens.,0.5,0.4938080495356037,0.500867742407254,0.4937486070070243,0.0017309425462137672,0.5659722222222222,0.4465753424657534,0.43575418994413406,0.5551601423487544,0.5010578657436748,0.4418977439863515,0.25107754206450383,156,125,202,163
Transformer,Combined,0.5,0.4938080495356037,0.500867742407254,0.4937486070070243,0.0017309425462137672,0.5659722222222222,0.4465753424657534,0.43575418994413406,0.5551601423487544,0.5010578657436748,0.4418977439863515,0.25107754206450383,156,125,202,163
